"id" "setsize" "setsize_lin" "n_IIP" "n_IOP" "n_NPL" "IIP" "IOP" "NPL" "total"
"390" 18 "6" 1 1 4 4 21 2 0 23
"391" 19 "6" 1 1 4 4 19 3 1 23
"392" 2 "6" 1 1 4 4 23 0 0 23
"393" 20 "6" 1 1 4 4 19 4 0 23
"394" 3 "6" 1 1 4 4 18 4 1 23
"395" 4 "6" 1 1 4 4 21 1 1 23
"396" 5 "6" 1 1 4 4 20 3 0 23
"397" 6 "6" 1 1 4 4 12 4 7 23
"398" 7 "6" 1 1 4 4 13 7 3 23
"399" 8 "6" 1 1 4 4 18 3 2 23
"400" 9 "6" 1 1 4 4 10 9 4 23
"401" 1 "8" 3 1 4 4 17 3 3 23
"402" 10 "8" 3 1 4 4 19 2 2 23
"403" 11 "8" 3 1 4 4 17 1 5 23
"404" 12 "8" 3 1 4 4 8 10 5 23
"405" 13 "8" 3 1 4 4 13 3 7 23
"406" 14 "8" 3 1 4 4 11 8 4 23
"407" 15 "8" 3 1 4 4 17 4 2 23
"408" 16 "8" 3 1 4 4 9 12 2 23
"409" 17 "8" 3 1 4 4 21 2 0 23
"410" 18 "8" 3 1 4 4 19 4 0 23
"411" 19 "8" 3 1 4 4 13 5 5 23
"412" 2 "8" 3 1 4 4 22 1 0 23
"413" 20 "8" 3 1 4 4 13 6 4 23
"414" 3 "8" 3 1 4 4 14 6 3 23
"415" 4 "8" 3 1 4 4 16 6 1 23
"416" 5 "8" 3 1 4 4 13 9 1 23
"417" 6 "8" 3 1 4 4 6 8 9 23
"418" 7 "8" 3 1 4 4 9 7 7 23
"419" 8 "8" 3 1 4 4 16 5 2 23
"420" 9 "8" 3 1 4 4 12 7 4 23
"421" 1 "6" 1 1 6 4 16 5 2 23
"422" 10 "6" 1 1 6 4 21 1 1 23
"423" 11 "6" 1 1 6 4 19 4 0 23
"424" 12 "6" 1 1 6 4 16 4 3 23
"425" 13 "6" 1 1 6 4 18 4 1 23
"426" 14 "6" 1 1 6 4 14 8 1 23
"427" 15 "6" 1 1 6 4 20 3 0 23
"428" 16 "6" 1 1 6 4 10 12 1 23
"429" 17 "6" 1 1 6 4 22 0 1 23
"430" 18 "6" 1 1 6 4 19 2 2 23
"431" 19 "6" 1 1 6 4 20 3 0 23
"432" 2 "6" 1 1 6 4 21 1 1 23
"433" 20 "6" 1 1 6 4 19 3 1 23
"434" 3 "6" 1 1 6 4 17 5 1 23
"435" 4 "6" 1 1 6 4 17 5 1 23
"436" 5 "6" 1 1 6 4 17 6 0 23
"437" 6 "6" 1 1 6 4 15 8 0 23
"438" 7 "6" 1 1 6 4 13 7 3 23
"439" 8 "6" 1 1 6 4 17 6 0 23
"440" 9 "6" 1 1 6 4 14 8 1 23
"441" 1 "8" 3 1 6 4 15 8 0 23
"442" 10 "8" 3 1 6 4 17 5 1 23
"443" 11 "8" 3 1 6 4 18 4 1 23
"444" 12 "8" 3 1 6 4 8 13 2 23
"445" 13 "8" 3 1 6 4 17 3 3 23
"446" 14 "8" 3 1 6 4 12 9 2 23
"447" 15 "8" 3 1 6 4 19 3 1 23
"448" 16 "8" 3 1 6 4 10 11 2 23
"449" 17 "8" 3 1 6 4 19 3 1 23
"450" 18 "8" 3 1 6 4 17 3 3 23
"451" 19 "8" 3 1 6 4 19 3 1 23
"452" 2 "8" 3 1 6 4 20 2 1 23
"453" 20 "8" 3 1 6 4 15 7 1 23
"454" 3 "8" 3 1 6 4 9 14 0 23
"455" 4 "8" 3 1 6 4 12 10 1 23
"456" 5 "8" 3 1 6 4 15 6 2 23
"457" 6 "8" 3 1 6 4 8 8 7 23
"458" 7 "8" 3 1 6 4 12 8 3 23
"459" 8 "8" 3 1 6 4 17 6 0 23
"460" 9 "8" 3 1 6 4 8 11 4 23
"461" 1 "8" 3 1 8 4 15 7 1 23
"462" 10 "8" 3 1 8 4 18 4 1 23
